rank,title,author,year
470,Death of Virgil,Hermann Broch,1945
471,Snow Crash,Neal Stephenson,1992
472,Don Juan: A Poem,Lord Byron,1819
473,The Breakfast of Champions,Kurt Vonnegut,1973
474,"If I Forget Thee, Jerusalem",William Faulkner,1939
475,Poems of Federico García Lorca,Federico García Lorca,1941
476,The Voyage of the Dawn Treader: The Chronicles of Narnia,C. S. Lewis,1952
477,The Silver Chair: The Chronicles of Narnia,C. S. Lewis,1953
478,The Horse and His Boy: The Chronicles of Narnia,C. S. Lewis,1954
479,The Last Battle: The Chronicles of Narnia,C. S. Lewis,1956
480,Prince Caspian: The Return to Narnia,C. S. Lewis,1951
481,The Magician's Nephew,"C. S. Lewis, Clive Staples Lewis",1955
482,The Warden,Anthony Trollope,1855
483,Silas Marner,George Eliot,1861
484,Jakob Von Gunten,Robert Walser,1909
485,Amelia,Henry Fielding,1751
486,The Iceman Cometh,Eugene O'Neill,1939
487,The Go-Between,L.P. Hartley,1953
488,Kokoro,Sōseki Natsume,1914
489,Mysteries,Knut Hamsun,1892
490,Romance of the Three Kingdoms,Guanzhong Luo,1301
491,The Complete Plays of T. S. Eliot,T. S. Eliot,1965
492,Burmese Days,George Orwell,1934
493,The Narrow Road to the Deep North,Matsuo Bashō,1689
494,The Eustace Diamonds,Anthony Trollope,1871
495,The Blithedale Romance,Nathaniel Hawthorne,1852
496,Shahnameh,Ferdowsi,1010
497,The Loneliness of the Long-distance Runner,Alan Sillitoe,1959
498,The Plum in the Golden Vase,Anonymous,1610
499,The Complete Works of Nathanael West,Nathanael West,1940
500,The Seance and Other Stories,Isaac Bashevis Singer,1991
501,Confessions of a Mask,Yukio Mishima,1949
502,Beauty and Sadness,Yasunari Kawabata,1964
503,The Poems of Percy Bysshe Shelley,Percy Bysshe Shelley,1822
504,Vendor Of Sweeets,"R. K. Narayan, R.K.",1967
505,The English Teacher,R. K. Narayan,1945
506,Dreamtigers,Jorge Luis Borges,1960
507,First Circle,Aleksandr Solzhenitsyn,1968
508,Alcestis,Euripedes,-438
509,The Collected Plays of W.B. Yeats,William Butler Yeats,1939
510,Cancer Ward,Aleksandr Solzhenitsyn,1967
511,The Fortunes Of Richard Mahony,Henry Handel Richardson,1929
512,Short Friday: And Other Stories,Isaac Bashevis Singer,1991
513,The Heart of the Matter,Graham Greene,1948
514,A Bend in the River,V. S. Naipaul,1979
515,A Good Man Is Hard to Find,Flannery O'Connor,1955
516,The Sense of an Ending,Julian Barnes,2011
517,The French Lieutenant's Woman,John Fowles,1969
518,The End of the Affair,Graham Greene,1951
519,The Man of Property,John Galsworth,1906
520,Awakening,John Galsworthy,1920
521,To Let,John Galsworthy,1921
522,In Chancery,John Galsworthy,1920
523,Indian Summer of a Forsyte,John Galsworthy,1918
524,Foundation,Isaac Asimov,1951
525,The Hobbit,J. R. R. Tolkien,1937
526,Studs Lonigan,James T. Farrell,1935
527,Scoop,Evelyn Waugh,1938
528,Jesus' Son,Denis Johnson,1999
529,The Thorn Birds,Colleen McCullough,1977
530,The Jungle Book,Rudyard Kipling,1894
531,Legends of The Fall,Jim Harrison,1979
532,Love Medicine,Louise Erdrich,1984
533,Neuromancer,William Gibson,1984
534,Anniversaries,Uwe Johnson,1970
535,All the Pretty Horses,Cormac McCarthy,1992
536,Complete Poems,Elizabeth Bishop,1979
537,The Bean Trees,Barbara Kingsolver,1988
538,Oranges are not the only Fruit,Jeanette Winterson,1985
539,"Jimmy Corrigan, the Smartest Kid on Earth",Chris Ware,2001
540,The Emigrants,Winfried Georg Sebald,1992
541,"Cry, the Beloved Country",Alan Paton,1948
542,The Waste Land and Other Poems,T. S. Eliot,1965
543,"Tinker, Tailor, Soldier, Spy",John Le Carre,1974
544,The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald,1940
545,Omeros,Derek Walcott,1990
546,Dom Casmurro,Machado de Assis,1899
547,Some Prefer Nettles,Junichiro Tanizaki,1929
548,Tales of the South Pacific,James A. Michener,1947
549,Money,Martin Amis,1984
550,A Separate Peace,John Knowles,1959
551,The Lusiad,Luís Vaz Camões,1572
552,The Lottery and Other Stories,Shirley Jackson,1949
553,Billy Budd,Herman Melville,1924
554,Paddy Clarke Ha Ha Ha,Roddy Doyle,1993
555,The Yearling,Marjorie Kinnan Rawlings,1938
556,Darkness at Noon,Arthur Koestler,1940
557,American Psycho,Bret Easton Ellis,1991
558,"Horseman, Pass By: A Novel",Larry McMurtry,1961
559,My Book House,Olive Beaupré Miller,1921
560,The Fault in Our Stars,John Green,2012
561,The Poorhouse Fair: A Novel,John Updike,1959
562,The Times Are Never So Bad: A Novella and Eight Short Stories,Andre Dubus,1983
563,Stories of Washington Irving,Washington Irving,1859
564,She Stoops to Conquer,Oliver Goldsmith,1773
565,Monsignor Quixote,Graham Greene,1982
566,The Bone is Pointed: An Inspector Bonaparte Mystery #6,Arthur W. Upfield,1938
567,Open Secrets: Stories,Alice Munro,1994
568,Body Rags,Galway Kinnell,1968
569,Dark symphony: Negro literature in America,"James A. Emanuel (Comp), Theodore L. Gross (Joint Comp)",
570,Ivanhoe,Walter Scott,1820
571,The Negro Caravan: Writings by American Negroes,"Sterling Allen Brown, Arthur Paul Davis, Ulysses Lee",1941
572,Eight Men: Short Stories,Richard Wright,1961
573,Rashomon and Seventeen Other Stories,Ryunosuke Akutagawa,1915
574,Death of a Lake,Arthur William Upfield,1954
575,The Prince and the Pauper: A Tale for Young People of All Ages,Mark Twain,1881
576,Of Time and the River: A Legend of Man's Hunger in His Youth,Thomas Wolfe,1935
577,The Richard Trilogy,Paul Horgan,1990
578,Housekeeping,Marilynne Robinson,1980
579,Revolutionary Road,Richard Yates,1961
580,Sophie's Choice,William Styron,1979
581,Wolf Hall,Hilary Mantel,2009
582,Hawaii,James Albert Michener,1959
583,Breakfast at Tiffany's,Truman Capote,1958
584,Collected Poems,Arthur Rimbaud,1954
585,Babbitt,Sinclair Lewis,1922
586,Collected Poems,Stéphane Mallarmé,1898
