rank,title,author,year
522,"The Influence of Sea Power Upon History, 1660-1783",Alfred Thayer Mahan,1890
523,The Logic of Scientific Discovery,Karl Popper,1934
524,"Catiline's War, The Jugurthine War, Histories",Sallust,-35
525,The Guide for the Perplexed,Moses Maimonides,1190
526,The City of God,Saint Augustine,426
527,Allegorical Expositions of the Holy Laws,Philo of Alexandria,50
528,The Mind and Society,Vilfredo Pareto,1916
529,Works of Gottfried Wilhelm Leibniz,Gottfried Wilhelm Leibniz,1716
530,Enquiry Concerning Political Justice,William Godwin,1793
531,A Treatise of Human Nature,David Hume,1739
532,Phenomenology of Mind,G. W. F. Hegel,1807
533,Reflections on the Revolution in France,Edmund Burke,1790
534,The New Science,Giambattista Vico,1725
535,Novum Organum,Francis Bacon,1620
536,First Principles,Herbert Spencer,1862
537,On the Babylonian Captivity of the Church,Martin Luther,1520
538,Anabasis,Xenophon,
539,The Works of Archimedes,Archimedes,-212
540,The Course in Positive Philosophy,Auguste Comte,1842
541,Outlines of Pyrrhonism,Sextus Empiricus,175
542,On the Fabric of the Human Body,Andreas Vesalius,1543
543,A Treatise Concerning the Principles of Human Knowledge,George Berkeley,1710
544,The Histories,Polybius,
545,Experiments on Plant Hybridization,Gregor Mendel,1865
546,Beelzebub's Tales to His Grandson,George Ivanovitch Gurdjieff,1950
